"","ID","time","PEG-9 (mol/L)","PEG-8 (mol/L)","PEG-7 (mol/L)","PEG-6 (mol/L)","PEG-5 (mol/L)","PEG-4 (mol/L)","PEG-3 (mol/L)","DEG (mol/L)","EG (mol/L)","Acetaldehyde (mol/L)","Acetate (mol/L)","CH4 (mol-gas)"
"847",11,24,0.00202428048385014,0.0024408724650725,0.0013106463741417,0.0008214994801053,0.000558483997591222,0.000390349317089152,0.00026939803552297,0.00132917067165573,0.000489282348503308,0.000297783388213727,4.33862108403225e-05,974488.334400012
"848",11,25,0.00176420632417405,0.00240922691041044,0.00132591962639503,0.00083604903826359,0.000569763558690705,0.000398610880050135,0.000275078975548647,0.00139115026382817,0.000497046795641666,0.00029844671678373,4.26000151897594e-05,998806.965897894
"849",11,26,0.0015088980778395,0.00236947581311896,0.00133981415859634,0.000849953474392927,0.000580584436793231,0.000406514163856189,0.000280486818347316,0.00145266098165807,0.000504183617733366,0.000298601389091904,4.18997392079293e-05,1022537.14862392
"850",11,27,0.0012606152134598,0.00231955059953473,0.00135216402808388,0.000863206328290568,0.000590960171837699,0.00041407592390602,0.000285637505953621,0.00151375606226862,0.000510485715241522,0.00029813720239128,4.12664291956702e-05,1045733.96876694
"851",11,28,0.00102240204177092,0.00225669283957666,0.00136272766521651,0.000875789035975628,0.000600899937134914,0.000421310244433522,0.000290544948310366,0.0015744820608848,0.00051566474134099,0.000296900807536051,4.06787062150715e-05,1068442.88971025
"852",11,29,0.000798340737241557,0.00217724629286382,0.00137115158109868,0.000887666921950436,0.00061040793206498,0.000428228500723628,0.000295221122220789,0.00163487614719122,0.000519331837821767,0.000294690325644924,4.01118021889756e-05,1090698.82619555
"853",11,30,0.000593766624679949,0.00207651224102707,0.0013769124479892,0.000898782718437984,0.000619482313270448,0.00043483917775996,0.000299676102875288,0.00169496297330566,0.000521001781422892,0.000291270959243367,3.95375397986979e-05,1112524.93268092
"854",11,31,0.000415182681411404,0.00194894434148287,0.00137922607284793,0.000909046059037203,0.000628113422913667,0.000441147497969041,0.00030391801905786,0.00175475128619197,0.000520178785948532,0.000286450395938956,3.89276783818613e-05,1133931.72912942
"855",11,32,0.00026929961968965,0.00178926973452083,0.00137691198128365,0.000918316511118674,0.000636280920486234,0.000447154784722939,0.00030795292050978,0.00181423127729612,0.000516622510600183,0.000280262992555853,3.82648594430229e-05,1154918.31958609
"856",11,33,0.000160600629642046,0.00159513807038075,0.00136821430541214,0.000926376710887073,0.000643949187439584,0.000452857438993337,0.000311784536641445,0.00187337498674613,0.000510795209749966,0.000273203229323574,3.75616156359666e-05,1175478.66402811
"857",11,34,8.82246426461881e-05,0.00137048148693876,0.00135060443517696,0.000932891248529437,0.000651059990487427,0.000458245284000888,0.000315413858857218,0.00193214220785615,0.000504028943893787,0.000266154802435304,3.68684437217448e-05,1195613.66449058
"858",11,35,4.52735722952015e-05,0.00112646186640554,0.00132059355461038,0.000937345021504045,0.000657520738367916,0.000463298773945775,0.000318838355280337,0.00199048995307571,0.000497703948999534,0.00025974699191088,3.62398379663338e-05,1215340.84077712
"859",11,36,2.21287815829342e-05,0.000878463053589242,0.00127353863232852,0.000938947709639219,0.000663185500450734,0.000467984214333266,0.000322050477028507,0.00204837714139995,0.000491992371211973,0.00025378151986017,3.56797738827333e-05,1234688.93824593
"860",11,37,1.04768915598119e-05,0.000642444752418168,0.00120347022065059,0.000936474754809975,0.00066782353387673,0.000472245735660324,0.000325035034983177,0.0021057579618677,0.000485657504613803,0.000247414662456182,3.5131229682987e-05,1253679.64689919
"861",11,38,4.85843289485985e-06,0.000433496204412857,0.00110335491639528,0.000927993059899213,0.000671064754284505,0.000475991827979163,0.000327764856630989,0.00216256600263257,0.000476861907073264,0.000239700951018867,3.45099207158899e-05,1272311.73778417
"862",11,39,2.22076798986956e-06,0.00026495452503155,0.00096702583856648,0.000910412236963845,0.000672301460662372,0.000479071902393311,0.000330193519381249,0.00221869495104366,0.000464127840590949,0.000230084952546689,3.37452669599703e-05,1290556.46739123
"863",11,40,1.0040189833755e-06,0.000144986914992372,0.000794377060015272,0.000878880025321769,0.000670510105607451,0.000481233667671933,0.000332242579652268,0.00227398030765235,0.000447277182987978,0.000218814227294552,3.2821486347356e-05,1308366.35963118
"864",11,41,4.49815149881333e-07,7.15228744866751e-05,0.000598006637027073,0.00082633621373705,0.000663939194139625,0.000482043771012841,0.000333778033964253,0.0023281825315808,0.000427586200906783,0.000206706800958875,3.17871168780237e-05,1325695.28095653
"865",11,42,1.99927382577576e-07,3.2631533696205e-05,0.000403362780150972,0.000744131282648947,0.000649596758636443,0.000480739387763016,0.000334565606922452,0.00238095794518797,0.000405895735735433,0.000193950881802987,3.06739946725244e-05,1342509.954141
"866",11,43,8.82265572944105e-08,1.41808883354721e-05,0.000238953518476507,0.000625556129795643,0.000622507330672058,0.000475951137432186,0.000334184247407642,0.00243178499627188,0.000381046456035457,0.000179768778073198,2.94235150087405e-05,1358772.61090892
"867",11,44,3.86820307619368e-08,5.99635937344785e-06,0.000123347140438721,0.000474270931379673,0.000575076492123363,0.000465199769634815,0.00033185618214991,0.00247980849799207,0.000351637517875968,0.000163680186390358,2.7960511358941e-05,1374420.54708921
"868",11,45,1.68615461975284e-08,2.49691631634269e-06,5.64969722456793e-05,0.000312692993358028,0.000498258399508205,0.000444097686954488,0.000326115035106875,0.00252354177330889,0.000317719071066952,0.000145883696448744,2.62721539196784e-05,1389374.65937947
"869",11,46,7.31270624188016e-09,1.03019518119208e-06,2.38760719568884e-05,0.000174921631624243,0.000388192528922735,0.000405610843457413,0.000314203622794509,0.00256027082103179,0.000279137563453509,0.000126183788691759,2.43331700071846e-05,1403549.84548561
"870",11,47,3.15788840115804e-09,4.22511442606847e-07,9.66095255558243e-06,8.34094382532339e-05,0.000258608986895336,0.00034143096460803,0.000291245386304849,0.00258485396627444,0.000235131547545689,0.000104285416661356,2.20801389617025e-05,1416843.20065884
"871",11,48,1.35905612528892e-09,1.72590521745764e-07,3.8301855514828e-06,3.53063823468484e-05,0.000142312283328551,0.000250201726209589,0.000250315502634714,0.00258758953445135,0.000185978959974244,8.04786397990562e-05,1.94861443949092e-05,1429133.70671437
"872",11,49,5.83470045676421e-10,7.0322170514407e-08,1.50541661481819e-06,1.39816925263323e-05,6.54259003405389e-05,0.000150511601703002,0.000187514940887067,0.00255191385393348,0.000133564043146416,5.58684163253407e-05,1.65902944930626e-05,1440297.6133522
"873",11,50,2.50133759561415e-10,2.86159288675382e-08,5.8992987536451e-07,5.37843489250966e-06,2.65996578499857e-05,7.32266049182019e-05,0.000114149080345489,0.0024574323870463,8.31785383888862e-05,3.32535306107072e-05,1.36088190837116e-05,1450245.0016186
"874",11,51,1.07175257861866e-10,1.16418863930945e-08,2.31154544594574e-07,2.04913236225151e-06,1.01772118102257e-05,3.03640667967984e-05,5.53182884033407e-05,0.00229674849950305,4.32480980724137e-05,1.64420926501516e-05,1.09794575060642e-05,1458991.44007655
"875",11,52,4.5928446858588e-11,4.73886141216502e-09,9.07015762327727e-08,7.7985492536004e-07,3.80937751440855e-06,1.15856577782163e-05,2.26733726395641e-05,0.00209008091743029,1.89683895706851e-05,6.93085110186236e-06,9.05651557914855e-06,1466696.89177466
"876",11,53,1.96927393032832e-11,1.93087961577772e-09,3.56659914894692e-08,2.97501386662727e-07,1.41992071557153e-06,4.28794770169969e-06,8.55688973907481e-06,0.00186877177432104,7.45395224112051e-06,2.66701992962262e-06,7.77780044017596e-06,1473584.45630281
